Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"Ahrens tweeted, “In 1993, Farrakhan told women: “You’re a failure if you can’t keep a man.” In 1994, Farrakhan said: “Murder and lying comes easy for white people.” All this came *before* Ellison praised him as “a role model” in 1995, and was photographed selling Farrakhan’s newspaper in 1998.”",Black-and-White_Fallacy,You’re a failure if you can’t keep a man,999000158,,,,,,,,,,,,,,,
"Aiken was a Dem fundraiser, her husband was the chair of the Oregon Dem party, appointed by Bill Clinton.","Name_Calling,Labeling",Dem fundraiser,770938827,,,,,,,,,,,,,,,
"Aiken was unqualified for her role, except in the ways that mattered to the Clintons and their Dem allies.","Name_Calling,Labeling",unqualified,770938827,,,,,,,,,,,,,,,
Airborne infections are difficult at best to control.,Loaded_Language,difficult at best,706501640,,,,,,,,,,,,,,,
"All changes undertaken by religious houses were perfectly legitimate and good - “fruitful” if, perhaps, a bit “intense” – and have been made in “light of the teachings” of Vatican II and “changed socio-cultural conditions.” There is, therefore, no legitimate reason whatever for any religious house to attempt to “turn back the clock” to the pre-Vatican II norms or styles of religious life.",Repetition,fruitful,758386255,,,,,,,,,,,,,,,
"All changes undertaken by religious houses were perfectly legitimate and good - “fruitful” if, perhaps, a bit “intense” – and have been made in “light of the teachings” of Vatican II and “changed socio-cultural conditions.” There is, therefore, no legitimate reason whatever for any religious house to attempt to “turn back the clock” to the pre-Vatican II norms or styles of religious life.","Exaggeration,Minimisation",perfectly,758386255,,,,,,,,,,,,,,,
All credibility is lost.,Slogans,All credibility is lost,776049384,,,,,,,,,,,,,,,
All for spreading unwelcome truth around.,Causal_Oversimplification,All for spreading unwelcome truth around,765982381,,,,,,,,,,,,,,,
"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does.",Causal_Oversimplification,"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does",694327499,,,,,,,,,,,,,,,
"All of this happened before Bergoglio, bowing to worldwide public pressure, finally—only weeks ago—took decisive action against his “trusted counselor.” McCarrick had lobbied for Bergoglio’s election, along with Maradiaga and the infamous Cardinal Danneels, who covered up homosexual rape committed by a priest against his own nephew,has supported “same-sex marriage,” and advised the King of Belgium to sign a law legalizing abortion in 1990.","Name_Calling,Labeling",trusted counselor,783702663,,,,,,,,,,,,,,,
"All of this happened before Bergoglio, bowing to worldwide public pressure, finally—only weeks ago—took decisive action against his “trusted counselor.” McCarrick had lobbied for Bergoglio’s election, along with Maradiaga and the infamous Cardinal Danneels, who covered up homosexual rape committed by a priest against his own nephew,has supported “same-sex marriage,” and advised the King of Belgium to sign a law legalizing abortion in 1990.","Name_Calling,Labeling",the infamous Cardinal,783702663,,,,,,,,,,,,,,,
"All of this happened before Bergoglio, bowing to worldwide public pressure, finally—only weeks ago—took decisive action against his “trusted counselor.” McCarrick had lobbied for Bergoglio’s election, along with Maradiaga and the infamous Cardinal Danneels, who covered up homosexual rape committed by a priest against his own nephew,has supported “same-sex marriage,” and advised the King of Belgium to sign a law legalizing abortion in 1990.",Doubt,"who covered up homosexual rape committed by a priest against his own nephew,has supported “same-sex marriage,” and advised the King of Belgium to sign a law legalizing abortion in 1990",783702663,,,,,,,,,,,,,,,
All the Dems have to do is squeal “sexism” and Republicans start negotiating and offering concessions.,"Name_Calling,Labeling",the Dems,789615291,,,,,,,,,,,,,,,
All the Dems have to do is squeal “sexism” and Republicans start negotiating and offering concessions.,Loaded_Language,is squeal,789615291,,,,,,,,,,,,,,,
"All the questions have gone ignored, or have received frivolous, jokey responses:",Loaded_Language,"frivolous, jokey responses",738207834,,,,,,,,,,,,,,,
All the talk of Iran and nuclear weapons is without any reference to the biggest nuclear power in the Middle East.,"Whataboutism,Straw_Men,Red_Herring",All the talk of Iran and nuclear weapons is without any reference to the biggest nuclear power in the Middle East,763260610,,,,,,,,,,,,,,,
"All this and rampant homosexuality in the priesthood, too... along with a ""trivialized liturgy"" (according to Pope Benedict XVI) and widespread apostasy among the faithful?",Loaded_Language,rampant homosexuality,779394730,,,,,,,,,,,,,,,
"All this and rampant homosexuality in the priesthood, too... along with a ""trivialized liturgy"" (according to Pope Benedict XVI) and widespread apostasy among the faithful?
Remind me again: What exactly has Vatican II and the last fifty years of aggiornamento given us?
Because I can't seem to think of a darn thing, apart from heretical homilies, sodomitical clergy and an increasingly lavender liturgy.",Doubt,"All this and rampant homosexuality in the priesthood, too... along with a ""trivialized liturgy"" (according to Pope Benedict XVI) and widespread apostasy among the faithful?
Remind me again: What exactly has Vatican II and the last fifty years of aggiornamento given us?
Because I can't seem to think of a darn thing, apart from heretical homilies, sodomitical clergy and an increasingly lavender liturgy",779394730,,,,,,,,,,,,,,,
"All this came *before* Ellison praised him as ""a role model"" in 1995, and was photographed selling Farrakhan's newspaper in 1998. pic.twitter.com/5dvnDHTSoB — Michael Ahrens (@michael_ahrens) October 22, 2018",Loaded_Language,praised him,999000158,,,,,,,,,,,,,,,
"All too often, all you need is some statistics software (or its online equivalent), a politically correct premise and absolute ignorance.","Exaggeration,Minimisation",absolute ignorance,729940206,,,,,,,,,,,,,,,
"All very well and good, except for the fact that the Church's constant and unchanging moral teaching on this makes no such allowance.",Causal_Oversimplification,"All very well and good, except for the fact that the Church's constant and unchanging moral teaching on this makes no such allowance",778664280,,,,,,,,,,,,,,,
"Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.",Loaded_Language,useless,765197039,,,,,,,,,,,,,,,
"Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.","Exaggeration,Minimisation",whose whole endeavor in this nether life is useless,765197039,,,,,,,,,,,,,,,
"Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.","Name_Calling,Labeling",partisans of Satan; most treacherous in regard to all they do,765197039,,,,,,,,,,,,,,,
"Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.","Exaggeration,Minimisation",most treacherous in regard to all they do,765197039,,,,,,,,,,,,,,,
Allahu akbar.”,Loaded_Language,Allahu akbar,741923579,,,,,,,,,,,,,,,
Allahu akbar.”,Loaded_Language,Allahu akbar,741802985,,,,,,,,,,,,,,,
"Already fractured since the collapse of all Catholic institutions after Vatican II and the horrors of the sex abuse crisis, how much will there be to repair of the once-steadfast trust Catholics instinctively had in the Church after this?",Loaded_Language,horrors,729578579,,,,,,,,,,,,,,,
"Also on Sunday, media-savvy sleazeball lawyer Michael Avenatti, who represents porn star Stormy Daniels, tweeted that he represents another woman who plans to accuse Kavanaugh of something.","Name_Calling,Labeling",media-savvy sleazeball lawyer,789370998,,,,,,,,,,,,,,,
Also the Left killed comedy.,Slogans,the Left killed comedy,999001970,,,,,,,,,,,,,,,
"Also the Left killed comedy.
This is what its corpse looks like.","Exaggeration,Minimisation","Also the Left killed comedy.
This is what its corpse looks like",999001970,,,,,,,,,,,,,,,
"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Appeal_to_fear-prejudice,before this crisis gets any more out-of-control than it already is,782086447,,,,,,,,,,,,,,,
"Although Arbenz was able to escape the country, the CIA’s regime-change operation was a total success, with Arbenz being replaced by the pro-U.S. Gen. Carlos Castillo Armas, who proceeded to instigate a reign of terror across Guatemala.","Exaggeration,Minimisation",a total success,703821117,,,,,,,,,,,,,,,
"Although Arbenz was able to escape the country, the CIA’s regime-change operation was a total success, with Arbenz being replaced by the pro-U.S. Gen. Carlos Castillo Armas, who proceeded to instigate a reign of terror across Guatemala.",Loaded_Language,a reign of terror,703821117,,,,,,,,,,,,,,,
"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church.","Name_Calling,Labeling",corrupt man,783702663,,,,,,,,,,,,,,,
"Although he knew that he was a corrupt man, he covered for him to the bitter end; indeed, he made McCarrick’s advice his own, which was certainly not inspired by sound intentions and for love of the Church.",Loaded_Language,to the bitter end,783702663,,,,,,,,,,,,,,,
"Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",Repetition,no one in Madagascar is safe,700387229,,,,,,,,,,,,,,,
"Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",Appeal_to_fear-prejudice,no one in Madagascar is safe,700387229,,,,,,,,,,,,,,,
"Although men certainly continued to kill one another in a society which in fact became so wicked ""that all the thought of their heart was bent upon evil at all times,"" they did so as murderers, outside God's law without legal right.",Loaded_Language,so wicked,777488669,,,,,,,,,,,,,,,
"Although the black plague can be treated effectively with antibiotics, the incubation time of this bacteria is incredibly short.",Loaded_Language,incredibly,700387229,,,,,,,,,,,,,,,
"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.","Bandwagon,Reductio_ad_hitlerum","after virtually every terror attack and mass shooting, friends and neighbors express shock",694811415,,,,,,,,,,,,,,,
"Although the conspiracy theory is baseless nonsense, it continues to dog the Trump administration, providing cable television news outlets and late-night talk show hosts with endless fodder in the 24-hour news cycle.","Exaggeration,Minimisation",endless fodder,788173482,,,,,,,,,,,,,,,
"Although the conspiracy theory is baseless nonsense, it continues to dog the Trump administration, providing cable television news outlets and late-night talk show hosts with endless fodder in the 24-hour news cycle.",Loaded_Language,"Although the conspiracy theory is baseless nonsense, it continues to dog the Trump administration",788173482,,,,,,,,,,,,,,,
"Although the conspiracy theory is baseless nonsense, it continues to dog the Trump administration, providing cable television news outlets and late-night talk show hosts with endless fodder in the 24-hour news cycle.","Name_Calling,Labeling",baseless nonsense,788173482,,,,,,,,,,,,,,,
"Although the particular inclination of the homosexual person is not a sin, it is a more or less strong tendency ordered toward an intrinsic moral evil; thus the inclination itself must be seen as an objective disorder.
Therefore special concern and pastoral attention should be directed to those who have this condition, lest they be led to believe that the living out of this orientation in homosexual activity is a morally acceptable option.
It is not.",Causal_Oversimplification,"thus the inclination itself must be seen as an objective disorder.
Therefore special concern and pastoral attention should be directed to those who have this condition, lest they be led to believe that the living out of this orientation in homosexual activity is a morally acceptable option.
It is not",778664280,,,,,,,,,,,,,,,
"Although the plague is responding well to antibiotics right now, drug resistance is also an increasing concern amongst experts who predict it will vastly accelerate the disease’s death toll.",Repetition,drug resistance is also an increasing concern,707566605,,,,,,,,,,,,,,,
"Amazingly, more Ecuadorean Government documents have just been discovered for the Guardian, this time spy agency reports detailing visits of Paul Manafort and unspecified “Russians” to the Embassy.","Name_Calling,Labeling",unspecified “Russians,999000312,,,,,,,,,,,,,,,
"Amazingly, the surveillance camera captured what seems to show a “large amount” of wind and debris being kicked up by a nearby helicopter hovering above the attack and or taking part in it.",Doubt,Amazingly,706636401,,,,,,,,,,,,,,,
Ambassador Nikki Haley comes is devastating.,Loaded_Language,devastating,793534424,,,,,,,,,,,,,,,
"Ambellas claims helicopters provided an ""air assault"" during the massacre, a ludicrous theory he's expounded upon on InfoWars with the internet's conspiracy-theorist-in-chief Alex Jones.",Loaded_Language,ludicrous,727736557,,,,,,,,,,,,,,,
"Ambellas claims helicopters provided an ""air assault"" during the massacre, a ludicrous theory he's expounded upon on InfoWars with the internet's conspiracy-theorist-in-chief Alex Jones.","Name_Calling,Labeling",internet's conspiracy-theorist-in-chief,727736557,,,,,,,,,,,,,,,
America stands with the people of Iran in their courageous struggle for freedom.”,Flag-Waving,America stands with the people of Iran in their courageous struggle for freedom.”,727569885,,,,,,,,,,,,,,,
American Raj: Liberati... Eric Margolis Best Price: $5.99 Buy New $45.86 (as of 09:30 EDT - Details) And this right after Trump and his neocon minions reneged on the sensible nuclear treaty with Iran.,"Name_Calling,Labeling",neocon minion,757713354,,,,,,,,,,,,,,,
"American Raj: Liberati... Eric Margolis Best Price: $5.99 Buy New $45.86 (as of 09:30 EDT - Details) Trump’s objectives, at least initially, were to crush North Korea and the threats it could pose to the United States and its regional allies Japan and South Korea.",Loaded_Language,to crush,766942310,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,Loaded_Language,vigorously defend,785801366,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,Loaded_Language,vigorously defend them,786731884,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,Loaded_Language,slanders,786731884,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,"Name_Calling,Labeling",totalitarian leftist and Islamic forces,786731884,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,"Name_Calling,Labeling",totalitarian leftist and Islamic forces,785801366,,,,,,,,,,,,,,,
American comedians need to start writing scripts that follow in Maher’s footsteps and Americans need to encourage and equip them to do so – and to also vigorously defend them from the attacks and slanders they will inevitably receive from totalitarian leftist and Islamic forces.,Loaded_Language,slanders,785801366,,,,,,,,,,,,,,,
America’s media was quick to retail the story and burnish Trump’s credentials among the seriously credulous.,Loaded_Language,burnish,766942310,,,,,,,,,,,,,,,
"Americo, the life insurance company, said there was “great doubt” about who the rightful policy holder was, given the allegations of fraud, and sent the decision to the courts to sort out on April 14, two months after the House sargent-at-arms banned the Awans for “suspicious activity.”","Exaggeration,Minimisation",great doubt,752287274,,,,,,,,,,,,,,,
Among the documents to be declassified are all of the text messages between disgraced FBI figures Peter Strzok and Lisa Page.,"Name_Calling,Labeling",disgraced FBI figures,787955075,,,,,,,,,,,,,,,
"Among the earliest indications Catholics had that the new pope had no intention of getting to the bottom of the priest-abuser problem was his appointment of the notorious homosexual, Monsignor Battista Ricca, as head of the Vatican Bank and the man in charge of his own residence, the Casa Santa Martha.","Name_Calling,Labeling",the notorious homosexual,725498022,,,,,,,,,,,,,,,
"Among the signs held by protesters in Chile last week were those reading, “Ni zurdos, ni tontos,” (Neither lefties nor stupid).",Slogans,Neither lefties nor stupid,725498022,,,,,,,,,,,,,,,
"An ADL official told JTA on Friday that the group had reached out to Rep. Danny Davis, a Democrat, after an article in The Daily Caller said he lauded Farrakhan on Monday as “an outstanding human being.” Farrakhan has calledJews “the enemy of God and the enemy of the righteous,” and said Jews were responsible for the 9/11 terror attacks and the rise of the Ku Klux Klan in the 20th century.","Bandwagon,Reductio_ad_hitlerum","Farrakhan has calledJews “the enemy of God and the enemy of the righteous,” and said Jews were responsible for the 9/11 terror attacks and the rise of the Ku Klux Klan in the 20th century",735815173,,,,,,,,,,,,,,,
"An AP investigation into Russian hacking shows that government-aligned cyberspies began an aggressive effort to penetrate the Clinton campaign’s email accounts on March 10, 2016.","Name_Calling,Labeling",government-aligned cyberspies,111111134,,,,,,,,,,,,,,,
An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history has been charged with manufacturing armor-piercing bullets.,"Exaggeration,Minimisation",the deadliest mass shooting in modern U.S. history,727736595,,,,,,,,,,,,,,,
"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.","Exaggeration,Minimisation",the deadliest mass shooting in modern U.S. history,727174208,,,,,,,,,,,,,,,
"An enlightened, progressive school was suddenly transformed into something harking back to the days of Nazi Germany and the Nuremberg Laws.","Bandwagon,Reductio_ad_hitlerum","An enlightened, progressive school was suddenly transformed into something harking back to the days of Nazi Germany and the Nuremberg Laws",704591553,,,,,,,,,,,,,,,
An ex-Secret Service agent is claiming that former Vice President Joe Biden engaged in “Weinstein-level” sexual assault and that he would walk around the VP residence late at night completely naked.,Loaded_Language,completely naked,707451080,,,,,,,,,,,,,,,
An ex-Secret Service agent is claiming that former Vice President Joe Biden engaged in “Weinstein-level” sexual assault and that he would walk around the VP residence late at night completely naked.,"Name_Calling,Labeling",Weinstein-level” sexual assault,707451080,,,,,,,,,,,,,,,
An experimental Ebola vaccine is being rolled out in Congo as the death toll from the infectious disease continues to climb.,Appeal_to_fear-prejudice,the death toll from the infectious disease continues to climb,757843275,,,,,,,,,,,,,,,
An expert is warning the plague that has sickened over 2000 people in Madagascar since August is impossible to eradicate.,Appeal_to_fear-prejudice,warning the plague that has sickened over 2000 people in Madagascar since August is impossible to eradicate,708487008,,,,,,,,,,,,,,,
An improved deal won’t destroy Iran’s centrifuges.,Repetition,deal won’t destroy,699142854,,,,,,,,,,,,,,,
An outbreak of the plague in Madagascar is spreading at an unprecedented rate.,Loaded_Language,unprecedented,698719689,,,,,,,,,,,,,,,
"An outcry followed, leading Fortier to appoint former Ombudsperson for Students, Spencer Boudreau, to investigate.",Loaded_Language,An outcry,729303442,,,,,,,,,,,,,,,
"And Abraham answered and said, Behold now, I have taken upon me to speak unto the Lord, which am but dust and ashes: Peradventure there shall lack five of the fifty righteous: wilt thou destroy all the city for lack of five?","Name_Calling,Labeling",righteous,781768042,,,,,,,,,,,,,,,
"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?","Name_Calling,Labeling",the righteous,781768042,,,,,,,,,,,,,,,
"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?","Name_Calling,Labeling",the wicked,781768042,,,,,,,,,,,,,,,
And Dems have become honorary members of MS-13.,"Exaggeration,Minimisation",And Dems have become honorary members of MS-13,735090638,,,,,,,,,,,,,,,
"And Farrakhan, by God’s grace, has pulled a cover off of that Satanic Jew, and I’m here to say your time is up, your world is through.""","Exaggeration,Minimisation","your time is up, your world is through.""",736231219,,,,,,,,,,,,,,,
"And Farrakhan, by God’s grace, has pulled a cover off of that Satanic Jew, and I’m here to say your time is up, your world is through.""","Name_Calling,Labeling",Satanic Jew,736231219,,,,,,,,,,,,,,,
"And J Street is on record as endorsing a politician who praised a racist hate group leader and discussed the ""Jewish question.""","Name_Calling,Labeling","a politician who praised a racist hate group leader and discussed the ""Jewish question.""",740356006,,,,,,,,,,,,,,,
"And Ms. Ford may be overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her.","Name_Calling,Labeling","supportive"" lawmakers and lawyers",788900262,,,,,,,,,,,,,,,
"And Ms. Ford may be overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her.",Doubt,"overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her",788900262,,,,,,,,,,,,,,,
And NO Christian or other free man should ever comply with such a law.,Loaded_Language,NO,737194975,,,,,,,,,,,,,,,
"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country.",Loaded_Language,"sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country",721890296,,,,,,,,,,,,,,,
"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country.",Loaded_Language,untold numbers,721890296,,,,,,,,,,,,,,,
And Powell is one of the worst swamp creatures in D.C.,Repetition,swamp,793467906,,,,,,,,,,,,,,,
And Powell is one of the worst swamp creatures in D.C.,"Exaggeration,Minimisation",one of the worst swamp creatures in D.C,793467906,,,,,,,,,,,,,,,
And Powell is one of the worst swamp creatures in D.C.,Loaded_Language,worst swamp creatures,793467906,,,,,,,,,,,,,,,
"And Shapira, who “enjoys writing about people who have served in the military and intelligence communities” had an ethical duty to point out Helms’ proclivity for lying in his article.",Repetition,who “enjoys writing about people who have served in the military and intelligence communities”,703821117,,,,,,,,,,,,,,,
And Trump hasn’t learned it yet.,Doubt,Trump hasn’t learned it yet,111111122,,,,,,,,,,,,,,,
And Trump is far from the only American who sees the investigation as a witch hunt.,"Name_Calling,Labeling",a witch hunt,776368676,,,,,,,,,,,,,,,
"And Trump is president because he read the party and the country right, while the Bush-McCain Republican establishment had lost touch with both.",Causal_Oversimplification,Trump is president because he read the party and the country right,761674108,,,,,,,,,,,,,,,
"And Viganò now confirms Tosatti’s allegation: “The appointments of Blase Cupich to Chicago and Joseph W. Tobin to Newark were orchestrated by McCarrick, Maradiaga and Wuerl, united by a wicked pact of abuses by the first, and at least of coverup of abuses by the other two.",Loaded_Language,"united by a wicked pact of abuses by the first, and at least of coverup of abuses by the other two",783702663,,,,,,,,,,,,,,,
And WikiLeaks said on Twitter that it was “willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange.” It later tweeted that Assange had instructed his lawyers to sue the Guardian for libel.,"Exaggeration,Minimisation",willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange,111111134,,,,,,,,,,,,,,,
"And again in 1066, rioting Muslims, enraged by the humiliation of a Jew who had been appointed to rule over Muslims, murdered four thousand Jews in Granada.",Loaded_Language,enraged by the humiliation,766632016,,,,,,,,,,,,,,,
And all in the name of the Council.,Repetition,in the name of the Council,728972961,,,,,,,,,,,,,,,
"And all on the flimsy excuse that the aliens need another bite at the apple, despite the clear fact that the Indonesian government had long ago quashed the ethnic riots directed against the market dominant minority of Chinese and the religious motivated violence against Christians.",Loaded_Language,another bite at the apple,711716996,,,,,,,,,,,,,,,
"And all on the flimsy excuse that the aliens need another bite at the apple, despite the clear fact that the Indonesian government had long ago quashed the ethnic riots directed against the market dominant minority of Chinese and the religious motivated violence against Christians.",Repetition,aliens,711716996,,,,,,,,,,,,,,,
"And are we not in the midst of schisms already, provoked by none other than Bergoglio himself, whose insane drive to shatter the Church’s bimillennial discipline has produced the totally unprecedented situation in which what is still considered mortally sinful in one diocese is an imperative of “mercy” in another?",Doubt,"And are we not in the midst of schisms already, provoked by none other than Bergoglio himself, whose insane drive to shatter the Church’s bimillennial discipline has produced the totally unprecedented situation in which what is still considered mortally sinful in one diocese is an imperative of “mercy” in another",788056108,,,,,,,,,,,,,,,
"And are we not in the midst of schisms already, provoked by none other than Bergoglio himself, whose insane drive to shatter the Church’s bimillennial discipline has produced the totally unprecedented situation in which what is still considered mortally sinful in one diocese is an imperative of “mercy” in another?",Loaded_Language,insane drive to shatter the Church’s bimillennial discipline,788056108,,,,,,,,,,,,,,,
"And are we not in the midst of schisms already, provoked by none other than Bergoglio himself, whose insane drive to shatter the Church’s bimillennial discipline has produced the totally unprecedented situation in which what is still considered mortally sinful in one diocese is an imperative of “mercy” in another?","Exaggeration,Minimisation",the totally unprecedented situation,788056108,,,,,,,,,,,,,,,
"And as I said, they buried it because they thought that Hillary Clinton was going to win.",Causal_Oversimplification,because they thought that Hillary Clinton was going to win,772947654,,,,,,,,,,,,,,,
"And as our Ramadan willful blindness continues, more Infidels will die.",Loaded_Language,willful blindness,759468687,,,,,,,,,,,,,,,
"And as our Ramadan willful blindness continues, more Infidels will die.","Name_Calling,Labeling",Infidels,759468687,,,,,,,,,,,,,,,
"And as schools continue to fail, and authoritarian policies continue to wreak havoc on our society, more will wake up to the absolute horror of what allowing the state to educate our children has done to the moral fabric of humanity.",Flag-Waving,our society,762546428,,,,,,,,,,,,,,,
"And as schools continue to fail, and authoritarian policies continue to wreak havoc on our society, more will wake up to the absolute horror of what allowing the state to educate our children has done to the moral fabric of humanity.",Loaded_Language,wreak havoc,762546428,,,,,,,,,,,,,,,
"And as schools continue to fail, and authoritarian policies continue to wreak havoc on our society, more will wake up to the absolute horror of what allowing the state to educate our children has done to the moral fabric of humanity.",Loaded_Language,authoritarian,762546428,,,,,,,,,,,,,,,
"And as schools continue to fail, and authoritarian policies continue to wreak havoc on our society, more will wake up to the absolute horror of what allowing the state to educate our children has done to the moral fabric of humanity.",Loaded_Language,absolute horror,762546428,,,,,,,,,,,,,,,
"And at a later date, he assured us that that had been done.” Juan Carlos Cruz, the Karadima victim whose membership on the Commission the Vatican had blocked, told AP, “Cardinal O’Malley called me after the pope’s visit here in Philadelphia and he told me, among other things, that he had given the letter to the pope – in his hands.”",Repetition,in his hands,729578579,,,,,,,,,,,,,,,
And calls for help have gone unanswered besides the few willing to travel to the devastated island privately.,Loaded_Language,devastated,700662577,,,,,,,,,,,,,,,
And disgraced themselves by doing so.,Loaded_Language,disgraced,762160164,,,,,,,,,,,,,,,
And do the police have any interest in this?,Doubt,And do the police have any interest in this?,758756657,,,,,,,,,,,,,,,
"And don’t forget, the old sorta, kinda moderate Democrats like Feinstein and Chuck Schumer, who now have joined the crowd of trendoid socialists armed with torches and pitch-forks, will go along because they’re frightened of their party’s increasingly rabid left-wing base.","Name_Calling,Labeling",trendoid socialists armed with torches and pitch-forks,789615291,,,,,,,,,,,,,,,
"And don’t forget, the old sorta, kinda moderate Democrats like Feinstein and Chuck Schumer, who now have joined the crowd of trendoid socialists armed with torches and pitch-forks, will go along because they’re frightened of their party’s increasingly rabid left-wing base.","Name_Calling,Labeling",increasingly rabid left-wing base,789615291,,,,,,,,,,,,,,,
"And during the discourse of the Secretary of the Episcopal Conference, [the Secretary] said, “in the name of the Declaration of Religious Freedom [of Vatican II], we ask the President to remove this article in the Constitution.”",Appeal_to_fear-prejudice,"in the name of the Declaration of Religious Freedom [of Vatican II], we ask the President to remove this article in the Constitution",728972961,,,,,,,,,,,,,,,
"And even though Islamic jihadis have been apprehended on our border in 2014, the Homeland Security waved their hand and said, ""There's no threat.""",Thought-terminating_Cliches,"There's no threat.""",723823436,,,,,,,,,,,,,,,
"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.","Name_Calling,Labeling",a bizarre tweet,999001619,,,,,,,,,,,,,,,
"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.",Doubt,apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned,999001619,,,,,,,,,,,,,,,
"And given that autonomy is being held up as the sole criterion for viability of a monastery, it seems the Holy See is not interested in asking whether it is actually faithful to the charism, or even to the Catholic Faith, a question that has burned brightly for serious Catholics for some time.",Repetition,autonomy,758386255,,,,,,,,,,,,,,,
"And guess what, next time a man is nominated to a position who really has committed a crime, people will be that much less likely to believe his accuser.",Appeal_to_fear-prejudice,"next time a man is nominated to a position who really has committed a crime, people will be that much less likely to believe his accuser",789121798,,,,,,,,,,,,,,,
And he said it needs to affirm “Shariah’s assault on the U.S. Constitution as seditious.”,Appeal_to_Authority,And he said it needs to affirm “Shariah’s assault on the U.S. Constitution as seditious,786731884,,,,,,,,,,,,,,,
"And here's J Street trying to decide whether to stop endorsing a Democrat who pals around with Farrakhan and defended him by mentioning the ""Jewish question.""","Name_Calling,Labeling",a Democrat who pals around with Farrakhan,737255982,,,,,,,,,,,,,,,
