Sentence,Label,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"With Joseph as our example, four lessons for fathers can be taken from this Christmas story .",assumption,,,,,,,,,,,,,,,
"First , to be a father is not just a biological description .",assumption,,,,,,,,,,,,,,,
"Joseph was not the physical father of Jesus , but as instructed by the angel took Mary as his wife and provided a home for Jesus .",anecdote,,,,,,,,,,,,,,,
Being a father is a matter of the heart .,assumption,,,,,,,,,,,,,,,
Joseph is a great role model for those fathers that have chosen to raise non - biological children as their own .,assumption,,,,,,,,,,,,,,,
Fathers create homes for children by enlarging their hearts and providing a safe and nurturing environment for them .,assumption,,,,,,,,,,,,,,,
"Second ,  fathers model good values to their children .",assumption,,,,,,,,,,,,,,,
Matthew calls Joseph a just man .,anecdote,,,,,,,,,,,,,,,
"This is in sharp contrast to the wicked Herod in the same Gospel , who kills numerous boys in his narcissistic rage as he attempts to remove the pending threat of the birth of the King of the Jews .",assumption,,,,,,,,,,,,,,,
We are inundated with so many painful recollections of fathers that did not match the expectations of their children .,assumption,,,,,,,,,,,,,,,
Good fathers embody the moral and hopeful ideals of their children .,assumption,,,,,,,,,,,,,,,
They model the way .,assumption,,,,,,,,,,,,,,,
"Third ,  fathers do all in their power to protect their family .",assumption,,,,,,,,,,,,,,,
"Joseph, warned in a dream about the murderous plans of Herod, moves his family to the safety of Egypt .",anecdote,,,,,,,,,,,,,,,
This selfless act of Joseph illustrates what good fathers do best - they place the interest of their families above their own .,assumption,,,,,,,,,,,,,,,
"Lastly, fathers provide a future for their children .",assumption,,,,,,,,,,,,,,,
"Once again, Matthew records that Joseph in returning from Egypt scanned the environment and decided to move Jesus and Mary to Galilee, far from the watchful eye of Archelaus, the ruler that succeeded Herod .",anecdote,,,,,,,,,,,,,,,
Good fathers recognize that fathering does not end when children turn of age .,assumption,,,,,,,,,,,,,,,
Fathers consider the future of their children beyond their own mortality and work to provide a prosperous and successful future for them .,assumption,,,,,,,,,,,,,,,
Perhaps the time has come to reconsider the role of Joseph in our celebration of Christmas .,assumption,,,,,,,,,,,,,,,
"May we rediscover not only his good example, but the stabilizing and transformative effect that good fathers have on children, families and societies .",assumption,,,,,,,,,,,,,,,
"May we rediscover not only his good example, but the stabilizing and transformative effect that good fathers have on children, families and societies .",assumption,,,,,,,,,,,,,,,
You can dread the holidays as a passive bystander or you can actively shape your experience of them to be life-giving .,assumption,,,,,,,,,,,,,,,
Your choice will reaffirm whether you choose to be fully alive in the present or not .,assumption,,,,,,,,,,,,,,,
All too often I hear people express angst about holiday gatherings that they feel obligated to attend .,anecdote,,,,,,,,,,,,,,,
To be certain there are gatherings such as work related events where your absence would not serve you well .,assumption,,,,,,,,,,,,,,,
Those who anticipate the holidays share a sense of gladness and expectation about being with at least some of the guests .,assumption,,,,,,,,,,,,,,,
Their anticipation is usually grounded in a well-developed self-awareness which accepts others as they are and an ability to not get caught up in the drama or baggage of others .,assumption,,,,,,,,,,,,,,,
These three tools to create a life-giving experience of the holiday season can also be applied to other work or family events .,assumption,,,,,,,,,,,,,,,
1 \. Detach to Engage .,assumption,,,,,,,,,,,,,,,
"You are not obligated to engage in or endure lengthy and painful conversations with those whose energy, attitude or chip on their shoulder sucks the spirit out of you or others .",assumption,,,,,,,,,,,,,,,
"Those are their issues and choices, not yours .",assumption,,,,,,,,,,,,,,,
You are not responsible for their behavior and you cannot change it .,assumption,,,,,,,,,,,,,,,
You can be polite and detach .,assumption,,,,,,,,,,,,,,,
Detachment is the practice that reflects your grounding as a compassionate and courageous person .,assumption,,,,,,,,,,,,,,,
With loving intention you entrust the well-being of the person you detach from to the goodness of the Universe .,assumption,,,,,,,,,,,,,,,
This is not an expression of anger or righteousness but an act of hoping for their highest good .,assumption,,,,,,,,,,,,,,,
It frees you both .,assumption,,,,,,,,,,,,,,,
Your detachment allows you to be fully present to the positive energy of other guests .,assumption,,,,,,,,,,,,,,,
2 \. Frame New Conversations .,assumption,,,,,,,,,,,,,,,
One woman found herself filled with anxiety at the thought of family holiday events .,anecdote,,,,,,,,,,,,,,,
"She dreaded the sexist, racist and homophobic jokes or comments that would be offered .",anecdote,,,,,,,,,,,,,,,
She thought about abandoning her family's events .,anecdote,,,,,,,,,,,,,,,
Instead she decided that she did not want to walk away as a helpless victim .,anecdote,,,,,,,,,,,,,,,
She prepared herself with stories to tell in response to the inevitable offensive comments .,anecdote,,,,,,,,,,,,,,,
"When she told those stories - attending the wedding of two women at her church, getting to know Latino immigrants through her volunteer work - she discovered that the landscape changed .",anecdote,,,,,,,,,,,,,,,
Her stories invited connection to real human beings beyond labels and crude jokes .,assumption,,,,,,,,,,,,,,,
Her experience of the family gatherings began to shift .,assumption,,,,,,,,,,,,,,,
3 \. Name Your Gratitude .,no-unit,,,,,,,,,,,,,,,
Your gratitude is a reflection of the rich variety of relationships and experiences that shape your life .,assumption,,,,,,,,,,,,,,,
It can only be compromised by the negative or toxic behavior of others if you allow them to elbow your gratitude to the sidelines .,assumption,,,,,,,,,,,,,,,
In preparation for the center of the holiday season take a few minutes each day to name or write down one person or experience you are grateful for .,no-unit,,,,,,,,,,,,,,,
This practice creates a heartfelt mosaic of gratefulness .,assumption,,,,,,,,,,,,,,,
Express your thankfulness to each of the people you have named and the particular experiences they may have shaped .,assumption,,,,,,,,,,,,,,,
"If you will not see them in person express your gratitude via a note, email or social media tool imp .",assumption,,,,,,,,,,,,,,,
If you are with the person be prepared for how you will convey your heartfelt thanks .,assumption,,,,,,,,,,,,,,,
Naming your gratitude creates a mindful way of appreciating your interconnection with others .,assumption,,,,,,,,,,,,,,,
"When you detach in order to engage, frame new conversations and name your gratitude you choose to be present to yourself and others in life-affirming ways .",assumption,,,,,,,,,,,,,,,
These choices unclutter the angst or apprehension you might feel .,assumption,,,,,,,,,,,,,,,
They allow you to experience holiday gatherings in unexpected and positive ways .,assumption,,,,,,,,,,,,,,,
How will you be proactive in your choices?,assumption,,,,,,,,,,,,,,,
"In its ideological zeal to punish America , the outgoing Democratically- controlled Senate, plans to make public a report that, according to Fox News will examine ""the alleged use of torture by the CIA.""  Although the 6,000 page full report will remain classified , the 500 page summary is expected to be released to the public in coming days .",anecdote,,,,,,,,,,,,,,,
"According to press reports from those who are familiar with the study , it is expected to portray the American intelligence community in the worst possible light .",assumption,,,,,,,,,,,,,,,
"The report's release and details about CIA interrogations that took place a decade ago will endanger Americans abroad today, destroy essential relationships with foreign intelligence communities going forward, and cripple American human intelligence gathering networks for a generation .",assumption,,,,,,,,,,,,,,,
"Put bluntly , Democrats in the Senate are behaving like tenants who got evicted and decide to trash the house on their way out the door .",assumption,,,,,,,,,,,,,,,
There is nothing to be gained by releasing the report .,assumption,,,,,,,,,,,,,,,
The CIA's actions in the immediate aftermath of September 11 attacks have long since ceased .,assumption,,,,,,,,,,,,,,,
"Although President Obama has approved release of the report's summary , even Secretary of State John Kerry has warned that the report's release will put Americans and U.S  embassies at risk of retaliation .",testimony,,,,,,,,,,,,,,,
So why do this now? Perhaps Democrats in Congress think that by excoriating our intelligence community before the entire world they will expiate the sins of the previous administration .,assumption,,,,,,,,,,,,,,,
"Yes, it's another chance it's to blame Bush! This is the apology tour on steroids .",assumption,,,,,,,,,,,,,,,
"According to media reports, the report concludes that we tortured terrorists .",assumption,,,,,,,,,,,,,,,
"These are the same terrorists who blew up the World Trade Center, bombed the Pentagon, and tried to level the U.S  Capitol .",assumption,,,,,,,,,,,,,,,
"These are the same terrorists that today have beheaded Christians, Westerners and, just this past weekend, another American citizen .",assumption,,,,,,,,,,,,,,,
Think back to the days after September 11 .,other,,,,,,,,,,,,,,,
We were blind about Al Qaeda .,assumption,,,,,,,,,,,,,,,
Most Americans feared another attack was imminent .,assumption,,,,,,,,,,,,,,,
And the best legal advice in government said CIA actions to get that information were legal .,assumption,,,,,,,,,,,,,,,
So CIA officers did what they thought necessary to protect Americans .,assumption,,,,,,,,,,,,,,,
A decade later we're suddenly castigating them for it .,assumption,,,,,,,,,,,,,,,
"Second ,  the report concludes that the intelligence gathered from CIA's actions wasn't effective .",assumption,,,,,,,,,,,,,,,
Yet that has been disputed by the very people in the Obama administration who used it to track down Usama bin Laden .,assumption,,,,,,,,,,,,,,,
"To quote highly regarded former CIA Director Gen  Michael Hayden , ""it is inconceivable to believe that three different CIA directors, and three different Deputy CIA directors, conspired over a seven year period to lie about the program's effectiveness .",testimony,,,,,,,,,,,,,,,
"Third ,  there is a rule in foreign policy like the one in medicine .",assumption,,,,,,,,,,,,,,,
"First ,  do no harm .",assumption,,,,,,,,,,,,,,,
Public release of this report will do immeasurable harm .,assumption,,,,,,,,,,,,,,,
It will encourage terrorists around the world to launch revenge attacks .,assumption,,,,,,,,,,,,,,,
It will cause foreign intelligence agencies to clam up and no longer cooperate with US intelligence for fear that their sources and method will be blown .,assumption,,,,,,,,,,,,,,,
It will cause every American intelligence officer to go into the defensive crouch -- don't stick your head out to protect America because years later somebody in government who wants to score political points will chop it off .,assumption,,,,,,,,,,,,,,,
"Finally ,  take a lesson from history .",assumption,,,,,,,,,,,,,,,
"We did this once before, in the 1970's , when presidential-hopeful Senator Frank Church launched a widespread investigation of the CIA .",assumption,,,,,,,,,,,,,,,
"It didn't work , Senator Church's presidential aspirations never got off the ground .",assumption,,,,,,,,,,,,,,,
But his handiwork crippled American intelligence gathering for a generation .,assumption,,,,,,,,,,,,,,,
"American agents overseas were killed , foreign intelligence agencies stopped sharing intelligence with us , our own human networks collapsed , and CIA officers played it safe and stopped thinking outside the box .",anecdote,,,,,,,,,,,,,,,
This was one of the reasons a generation later we never knew about a bunch of Islamic extremists in a cave in Afghanistan plotting to take down the Twin Towers .,assumption,,,,,,,,,,,,,,,
Releasing the report to the public will do considerable harm to our efforts to gather essential intelligence about those hoping to do us harm .,assumption,,,,,,,,,,,,,,,
It will be a self-inflicted wound .,assumption,,,,,,,,,,,,,,,
The next time we are caught unprepared it won' t just be with 747s flying into buildings it could be with weapons too terrible to contemplate .,assumption,,,,,,,,,,,,,,,
The next time we are caught unprepared it won' t just be with 747s flying into buildings it could be with weapons too terrible to contemplate .,assumption,,,,,,,,,,,,,,,
"Programing Alert : Author Ralph Peters will be a guest on Fox News Channel's ""Hannity"" on December 9 at 10pm ET .",other,,,,,,,,,,,,,,,
"Tuesday's willful, unnecessary and gratuitously destructive release of the one-sided ""torture report"" at the insistence of outgoing Senate Intelligence Committee Chairwoman Dianne Feinstein, D-Calif . (backed by the White House) amounts to nothing less than providing aid and comfort to the enemy in wartime .",assumption,,,,,,,,,,,,,,,
Can anyone cite one practical good accomplished by releasing this gratuitously destructive report at this time? Will revealing successful practices make us more secure? No .,no-unit,,,,,,,,,,,,,,,
The report provides a propaganda windfall for Islamist fanatics .,assumption,,,,,,,,,,,,,,,
Will it benefit our allies? No .,assumption,,,,,,,,,,,,,,,
It exposes those who took great risks to help us in the wake of 9/11 .,assumption,,,,,,,,,,,,,,,
"Will it ""set the record straight?"" No .",no-unit,,,,,,,,,,,,,,,
"It distorts the record grotesquely in the interests of political correctness, blame-shifting and short-term political advantage .",assumption,,,,,,,,,,,,,,,
"Over the decades, I've respected Senator Feinstein , even when disagreeing with her .",anecdote,,,,,,,,,,,,,,,
"Thus ,  I'm far more shocked by her self-serving release of this report than by anything the CIA did to protect us .",assumption,,,,,,,,,,,,,,,
One can only conclude that the senator and her acolytes are attempting not to reform our intelligence practices but to re-write their own role in what transpired .,assumption,,,,,,,,,,,,,,,
The senator and her colleagues (from both parties) were briefed in detail on every activity field agents took to protect us from further attacks .,assumption,,,,,,,,,,,,,,,
The senator and her colleagues (as well as the Department of Justice) approved every one of those practices .,assumption,,,,,,,,,,,,,,,
"Now , the senator's saying , ""Even if we knew , we didn't know."" Perhaps she is, indeed , suffering a much-delayed attack of conscience , but the awareness that the incoming Republican-majority Congress would never release such a biased report surely plays a role .",assumption,,,,,,,,,,,,,,,
"And is it an accident that the report's release--the stuff of commanding headlines--has been timed for the day that Professor ""Americans-are-stupid"" Jonathan Gruber testifies on Capitol Hill about ObamaCare?  What a monstrous betrayal it is to compromise our agents and our allies just to shove a lackey's testimony below the fold in tomorrow-morning's newspapers ...  As for those supposedly horrendous actions taken by CIA personnel to convince blood-encrusted terrorists that cooperation might be the wisest course , they may have been harsh , but the times and our enemies were and are immeasurably harsher .",assumption,,,,,,,,,,,,,,,
But torture? What the Islamic State and its ilk do to their captives is torture .,other,,,,,,,,,,,,,,,
They shrink from nothing .,assumption,,,,,,,,,,,,,,,
We shrink from the thought of a terrorist gasping for breath .,assumption,,,,,,,,,,,,,,,
"Senator Feinstein and her supporters argue that the American people have a ""right to know,"" but they don't know the American people .",assumption,,,,,,,,,,,,,,,
"Living too long in a bubble with fellow members of the cultural elite , they have no sense of how the average American feels about terrorists who fly passenger aircraft into skyscrapers or who gleefully behead innocent captives in video clips .",assumption,,,,,,,,,,,,,,,
"Far from being mortified by water-boarding or sleep deprivation (for working Americans sleep deprivation is a normal state of affairs from holding down two jobs and multiple shifts to feed their families during the Reign of Obama) , the folks I know back home in the Pennsylvania coal towns would skin terrorists alive then get out the salt shaker .",assumption,,,,,,,,,,,,,,,
My people weren't upset by water-boarding .,assumption,,,,,,,,,,,,,,,
"They were upset -- infuriated -- by the collapse of the Twin Towers and the deaths of 3,000 Americans .",assumption,,,,,,,,,,,,,,,
"Of course ,  the release of this report just now -- which may lead to the deaths of more Americans , as the senator has been warned -- is another sign of the Obama administration's desperation .",assumption,,,,,,,,,,,,,,,
"Team Obama's genius for failure in every policy field, foreign or domestic, has left the administration's inner circle frantic to deflect attention from its parade of deceptions, derelictions and disasters .",assumption,,,,,,,,,,,,,,,
"About the only thing left to them is to exhume, yet again, the mutilated-by-the-left corpse of the George W  Bush administration .",assumption,,,,,,,,,,,,,,,
"For Team Obama, with its conviction that America's at the root of every evil , Bush is responsible for the Crucifixion, the Black Death, the Holocaust and Country music .",assumption,,,,,,,,,,,,,,,
But the average Americans so disdained by this White House (and by Professor Gruber) want to know what President Obama has done for them .,assumption,,,,,,,,,,,,,,,
"And unless one belongs to an arcane interest group , the answer is ""Nothing.""  Even if we grant her the noblest intentions , Senator Feinstein has betrayed our country and its defenders .",par-sep,,,,,,,,,,,,,,,
Will she accept responsibility for the aftermath of this report's release? The president certainly won't .,assumption,,,,,,,,,,,,,,,
"Should things go wrong , the White House will give the senator a back-massage by a bus this holiday season .",assumption,,,,,,,,,,,,,,,
"Our enemies would gladly exterminate every man, woman and child in the United States .",assumption,,,,,,,,,,,,,,,
Senator Feinstein just handed them a gift .,assumption,,,,,,,,,,,,,,,
But the president wrapped it .,assumption,,,,,,,,,,,,,,,
But the president wrapped it .,assumption,,,,,,,,,,,,,,,
"As I read news reports detailing the Senate Committee Report on the CIA interrogation program after the September 2001 terrorist attacks , I concluded there are several recurring problems to this latest effort to govern our national intelligence agencies .",anecdote,,,,,,,,,,,,,,,
"As an old man, I have had the opportunity to have first-hand exposure to how complex it is for Congress or even the White House to assert control over these vital intelligence activities .",anecdote,,,,,,,,,,,,,,,
"After there were revelations in the 60's that the CIA had engaged in a variety of activities that were highly questionable including efforts to kill Fidel Castro and others , the Carter administration reacted and went through the kind of political process that many are urging should be done today .",assumption,,,,,,,,,,,,,,,
"In an attempt to purge the agency of its tendency to use nefarious individuals to carry out some of its covert projects , the CIA was directed to refuse to associate with any persons who could not meet the test of good character .",assumption,,,,,,,,,,,,,,,
One CIA officer told me how absurd that directive was .,anecdote,,,,,,,,,,,,,,,
"""We are trying to get people to betray their governments and to lie and cheat on our behalf . You cannot expect us to find those people in the front pew at the local churches."" Perhaps the directive was well-intentioned but it made no sense .",assumption,,,,,,,,,,,,,,,
"Richard Helms, the CIA head from 1966 to 1973 , whom I knew well and admired greatly , told me of his personal problems when he was indicted by the Carter Justice Department for perjury .",anecdote,,,,,,,,,,,,,,,
"In testimony he gave to the Congress , Helms denied under oath his agency had been involved in the overthrow of the Allende government in Chile, an action ordered by President Nixon .",testimony,,,,,,,,,,,,,,,
"Helms told me he was following instructions he had been given repeatedly by various Senators including such powerful men as Senators Richard Russell and Walter George to the effect that if he were ever asked at an open hearing a question the answer to which ""would put any of our people at risk"" he should feel free to protect the secrets in whatever manner he wished .",testimony,,,,,,,,,,,,,,,
Of course Helms knew of many instances when he and others in the Agency had relied on that authority .,assumption,,,,,,,,,,,,,,,
"Helms was defended by the powerful Washington lawyer, Edward Bennett Williams and the case against Helms was quickly resolved when Williams explained to the Justice Department his plan to have Helms take the stand and recite all the covert programs that had been protected by various forms of prevarications by intelligence officials .",anecdote,,,,,,,,,,,,,,,
Of course no such trial in public made any sense and the danger to ongoing intelligence activities of testimony such as Williams would have had Helms provide was so great the ill - advised indictment of Helms resulted only in a slap on the wrist .,assumption,,,,,,,,,,,,,,,
Williams made a deal in which Helms pled guilty to a misdemeanor with no punishment .,anecdote,,,,,,,,,,,,,,,
"Later ,  President Ronald Reagan gave Helms the National Intelligence Medal as an obvious act of apology .",assumption,,,,,,,,,,,,,,,
Perjury is not to be condoned and lying before the Congress is criminal conduct .,assumption,,,,,,,,,,,,,,,
But the intelligence world involves subtle issues .,assumption,,,,,,,,,,,,,,,
"If we want to have a major intelligence effort , there are clear costs to be accepted .",assumption,,,,,,,,,,,,,,,
One of them is that much of the necessary supervision by Congress has to be done with deft caution .,assumption,,,,,,,,,,,,,,,
It can hardly be conducted in open hearings .,assumption,,,,,,,,,,,,,,,
"Alan Dershowitz, the Harvard Law Professor and prominent civil libertarian, contends torture to save lives should be permitted as long as there are rigorous procedural safeguards .",testimony,,,,,,,,,,,,,,,
He points out the Israelis have used torture for years with apparent success .,testimony,,,,,,,,,,,,,,,
Getting information from unwilling prisoners cannot be done without some risks to civilized process .,assumption,,,,,,,,,,,,,,,
It can be a dirty game .,assumption,,,,,,,,,,,,,,,
I once visited Vice President Walter Mondale at his White House office where he served under President Carter from 1977 to 1981 .,anecdote,,,,,,,,,,,,,,,
His desk was piled high with documents he said were mainly reports from the CIA .,anecdote,,,,,,,,,,,,,,,
He volunteered his frustration at the then weaknesses at the CIA .,anecdote,,,,,,,,,,,,,,,
He told me he had come to regret he had been such a vigorous supporter of the gutting of that agency that followed the suggestions of the so-called Church Committee on which Mondale had served as a Senator .,testimony,,,,,,,,,,,,,,,
His comment was an isolated one and I merely listened .,anecdote,,,,,,,,,,,,,,,
But the effects of the Church Committee recommendations were damaging to the CIA and the remedial work took years .,assumption,,,,,,,,,,,,,,,
Every forty years we may have to endure periodic reports like those produced under Senators Church and Feinstein that represent well intentioned reviews of the intelligence community .,assumption,,,,,,,,,,,,,,,
The suggested reforms speak of following our sense of justice and fairness and civility .,assumption,,,,,,,,,,,,,,,
The problem is obvious : Our enemies do not play fair and war is Hell .,assumption,,,,,,,,,,,,,,,
Any reforms of the intelligence universe cannot easily be effected .,assumption,,,,,,,,,,,,,,,
The idea of a transparent intelligence agency is an inherent contradiction .,assumption,,,,,,,,,,,,,,,
Moreover how can Congress talk openly of reforms without damaging our intelligence efforts? And politicians are among those least likely to be willing to accept the secrecy that is at the core of any well managed intelligence agency .,assumption,,,,,,,,,,,,,,,
Can we imagine a Congress that can keep the secrets?  The new flurry of attacks on the intelligence community -- harmful and unnecessary-- will not have any more lasting impact than did the indictment of Helms or the work of the Church Committee .,assumption,,,,,,,,,,,,,,,
But there should be some quiet and thoughtful debate within our Congress about how it can supervise these vital intelligence programs .,assumption,,,,,,,,,,,,,,,
"After all ,  our national intelligence work is existential .",assumption,,,,,,,,,,,,,,,
"After all ,  our national intelligence work is existential .",assumption,,,,,,,,,,,,,,,
"When the government is waving at us with its right hand , so to speak , it is the government's left hand that we should be watching .",assumption,,,,,,,,,,,,,,,
"Just as a magician draws your attention to what he wants you to see so you will not observe how his trick is performed , last week presented a textbook example of public disputes masking hidden deceptions .",assumption,,,,,,,,,,,,,,,
Here is what happened .,other,,,,,,,,,,,,,,,
Last week was dominated by two huge news stories .,assumption,,,,,,,,,,,,,,,
One was the revelation by the Senate Intelligence Committee of torture committed by CIA agents and contractors on 119 detainees in the post-9/11 era -- 26 of whom were tortured for months by mistake .,assumption,,,,,,,,,,,,,,,
In that revelation of anguish and error were the conclusions by CIA agents themselves that their torture had not produced helpful information .,assumption,,,,,,,,,,,,,,,
"President Obama acknowledged that the CIA had tortured , yet he directed the Department of Justice not to prosecute those who tortured and those who authorized it .",assumption,,,,,,,,,,,,,,,
The other substantial news story was the compromise achieved by Congress and the White House to fund the government through the end of September 2015 .,assumption,,,,,,,,,,,,,,,
"That legislation , which is 2,000 pages in length , was not read by anyone who voted for it .",assumption,,,,,,,,,,,,,,,
It spends a few hundred billion dollars more than the government will collect in tax revenue .,statistics,,,,,,,,,,,,,,,
The compromise was achieved through bribery ; members of Congress bought and sold votes by adding goodies (in the form of local expenditures of money borrowed by the federal government) to the bill that were never debated or independently voted upon and were added solely to achieve the votes needed for passage .,assumption,,,,,,,,,,,,,,,
This is how the federal government operates today .,assumption,,,,,,,,,,,,,,,
Both parties participate in it .,assumption,,,,,,,,,,,,,,,
They have turned the public treasury into a public trough .,assumption,,,,,,,,,,,,,,,
Hidden in the law that authorized the government to spend more than it will collect was a part about funding for the 16 federal civilian intelligence agencies .,assumption,,,,,,,,,,,,,,,
"And hidden in that was a clause, inserted by the same Senate Intelligence Committee that revealed the CIA torture , authorizing the National Security Agency to gather and retain nonpublic data for five years and to share it with law enforcement and with foreign governments .",assumption,,,,,,,,,,,,,,,
"""Nonpublic data"" is the government's language referring to the content of the emails, text messages, telephone calls, bank statements, utility bills and credit card bills of nearly every innocent person in America -- including members of Congress, federal judges, public officials and law enforcement officials .",assumption,,,,,,,,,,,,,,,
"I say ""innocent"" because the language of this legislation  -- which purports to make lawful the NSA spying we now all know about -- makes clear that those who spy upon us needn't have any articulable suspicion or probable cause for spying .",assumption,,,,,,,,,,,,,,,
"The need for articulable suspicion and probable cause has its origins in the Fourth Amendment to the Constitution , which was written to prohibit what Congress just authorized .",assumption,,,,,,,,,,,,,,,
"That amendment was a reaction to the brutish British practice of rummaging through the homes of American colonists, looking for anything that might be illegal .",assumption,,,,,,,,,,,,,,,
It is also a codification of our natural right to privacy .,assumption,,,,,,,,,,,,,,,
"It requires that if the government wants nonpublic data from our persons, houses, papers or effects , it must first present evidence of probable cause to a judge and then ask the judge for a search warrant .",assumption,,,,,,,,,,,,,,,
Probable cause is a level of evidence that is sufficient to induce a judge into concluding that it is more likely than not that the place to be examined contains evidence of crimes .,assumption,,,,,,,,,,,,,,,
"In order to seek probable cause , the government must first have an articulable suspicion about the person or place it has targeted .",common-ground,,,,,,,,,,,,,,,
"Were this not in the law , then nothing would stop the government from fishing expeditions in pursuit of anyone it wants to pursue .",assumption,,,,,,,,,,,,,,,
And fishing expeditions turn the presumption of liberty on its head .,assumption,,,,,,,,,,,,,,,
The presumption of liberty is based on the belief that our rights are natural to us and that we may exercise them without a permission slip from the government and without its surveillance .,assumption,,,,,,,,,,,,,,,
"Until last week, that is .",assumption,,,,,,,,,,,,,,,
"Last week, Congress, by authorizing the massive NSA spying to continue and by authorizing the spies to share what they have seized with law enforcement , basically permitted the fishing expeditions that the Fourth Amendment was written to prevent .",assumption,,,,,,,,,,,,,,,
"How can the president and Congress defy the Constitution , you might ask?  Hasn't every member of the government taken an oath to uphold the Constitution? Doesn't the Constitution create the presidency and the Congress? How can politicians purport to change it?  The answers to these questions are obvious , as is the belief of most of those in government that they can write any law and regulate any behavior and ignore the Constitution they have sworn to uphold whenever they want , so long as they can get away with it .",assumption,,,,,,,,,,,,,,,
"How can the president and Congress defy the Constitution , you might ask?  Hasn't every member of the government taken an oath to uphold the Constitution? Doesn't the Constitution create the presidency and the Congress? How can politicians purport to change it?  The answers to these questions are obvious , as is the belief of most of those in government that they can write any law and regulate any behavior and ignore the Constitution they have sworn to uphold whenever they want , so long as they can get away with it .",assumption,,,,,,,,,,,,,,,
The Justices of the Connecticut Supreme Court took over parenting duties of a cancer-stricken teenager Thursday .,assumption,,,,,,,,,,,,,,,
"In so doing , they surely saved her life .",assumption,,,,,,,,,,,,,,,
"At the conclusion of oral arguments, the high court took just minutes to determined that state officials were right to take custody of the girl known in court documents only as ""Cassandra C "" and force her to undergo life-saving treatment .",anecdote,,,,,,,,,,,,,,,
No thanks to her mother .,no-unit,,,,,,,,,,,,,,,
Jackie Fortin had encouraged her 17-year-old daughter's desire to refuse chemotherapy .,assumption,,,,,,,,,,,,,,,
"She naively pronounced , ""my daughter is not going to die."" As if wishing it could make it come true .",other,,,,,,,,,,,,,,,
"Sadly, both mother and daughter were wrong .",assumption,,,,,,,,,,,,,,,
They were in denial .,assumption,,,,,,,,,,,,,,,
"If they got their way , Cassandra would die .",assumption,,,,,,,,,,,,,,,
It was the equivalent of suicide .,assumption,,,,,,,,,,,,,,,
I wonder how her mother would feel then?  Cassandra has advanced Hodgkin's lymphoma which attacks and consumes the body's immune system .,common-ground,,,,,,,,,,,,,,,
Her doctors say chemotherapy treatment will give her an 85 percent chance of survival .,testimony,,,,,,,,,,,,,,,
Excellent odds .,no-unit,,,,,,,,,,,,,,,
"Yet ,  the teenager refused , saying she did not want to ""poison"" her body with chemo .",testimony,,,,,,,,,,,,,,,
How does that make sense to a rational mind? Let's employ Cassandra's own tortured terminology and logic .,other,,,,,,,,,,,,,,,
"Does she not realize that her body is already being poisoned by the rapidly multiplying cancer in her lymph system? Untreated , it will quickly spread until it kills her .",assumption,,,,,,,,,,,,,,,
That is what her doctors predict .,assumption,,,,,,,,,,,,,,,
Reliable statistics from the National Cancer Institute prove they are right .,statistics,,,,,,,,,,,,,,,
Chemotherapy can save her .,assumption,,,,,,,,,,,,,,,
Chemicals are introduced into the diseased body to attack the cancer cells .,common-ground,,,,,,,,,,,,,,,
"You can call it a ""poison"" if you want , but a more accurate term is curative .",assumption,,,,,,,,,,,,,,,
"Yes, the chemicals also harm other normal cells .",common-ground,,,,,,,,,,,,,,,
"To that extent they are a poison, of sorts, producing painful and unpleasant side effects .",assumption,,,,,,,,,,,,,,,
"But once the body recovers and is free of the cancer cells , the chemicals are gone .",common-ground,,,,,,,,,,,,,,,
"Thus , if chemo is a poison , it is not normally a lethal one .",assumption,,,,,,,,,,,,,,,
The cancer which is ravaging Cassandra's body surely is .,assumption,,,,,,,,,,,,,,,
"If , by using the term ""poison,"" Cassandra means she does not want to endure the side effects of nausea, vomiting, hair loss and exhaustion cond , she is being myopic .",assumption,,,,,,,,,,,,,,,
The final stages of untreated lymphoma are far more extreme and painful .,assumption,,,,,,,,,,,,,,,
"Cassandra's disdain for the treatment that will likely save her young life is, perhaps , the best evidence that she was not mature enough to make a wise and informed decision on her own .",assumption,,,,,,,,,,,,,,,
"But then again, neither was her mother .",assumption,,,,,,,,,,,,,,,
Which is why the state of Connecticut stepped in .,assumption,,,,,,,,,,,,,,,
"As an adult, Fortin, is presumed to be competent under the law to make decisions for her daughter, a minor .",assumption,,,,,,,,,,,,,,,
"However ,  Fortin's aberrant judgment in rejecting the treatment that could save Cassandra's life and her concomitant belief that her daughter would somehow, miraculously, not succumb to an insidious, fatal illness ... called that legal presumption into serious doubt .",assumption,,,,,,,,,,,,,,,
"There is also evidence that Fortin ignored obvious signs of her daughter's malignant disease at an early stage, failed to seek prompt and continuing medical attention , and has been unduly influencing Cassandra's negative reaction to treatment .",assumption,,,,,,,,,,,,,,,
"The court records suggest a domineering mother with an abiding distrust of medicine , and a daughter fearful of running afoul of her mother's wishes .",assumption,,,,,,,,,,,,,,,
"To deny a child beneficial , life-sustaining treatment constitutes child neglect .",assumption,,,,,,,,,,,,,,,
States have a duty to protect children from abuse and neglect .,assumption,,,,,,,,,,,,,,,
Courts rarely hesitate to step in where a child's life is in danger .,assumption,,,,,,,,,,,,,,,
